username,rating,comments,timestamp
Rohan,3,hi,2025-06-18 00:47:43.454118
Rohan,3,hello,2025-06-18 00:47:48.412440
hi,3,nice,2025-06-18 00:54:32.265659
kirito,3,nice,2025-06-18 01:22:08.713859
kirito,3,nice job,2025-06-18 02:40:21.162950
try3,3,ok,2025-06-18 03:47:05.643177
ainz,3,ok,2025-06-18 03:55:37.165125
try3,3,test,2025-06-18 03:57:52.668957
guison,4,Nice,2025-06-18 04:07:04.298678
Nana,4,,2025-06-18 04:25:06.199520
Fanny,4,perfect,2025-06-18 04:29:04.910318
Anonymous,4,works,2025-06-18 04:32:26.421814
Fanny,4,thanks,2025-06-18 04:33:07.319856
Ling,4,,2025-06-18 04:40:26.097051
kirito,4,,2025-06-18 04:41:29.717245
Rohan,4,Excellent,2025-06-18 13:58:06.507636
ainz,4,goooooddd,2025-06-18 15:02:13.920225
Natan,4,ok,2025-06-18 15:05:13.071945
Fanny,4,testttttttttttttttt,2025-06-18 15:07:30.488545
Minisitar,4,TESTING,2025-06-18 15:40:26.119906
Harith,4,nice,2025-06-18 15:49:30.883639
Harley,4,hello,2025-06-18 15:58:25.395341
ainz,4,ok,2025-06-18 22:49:03.292908
